ATT1,ATT2,ATT3,CON1,CON2,CON3,SNO1,SNO2,SNO3,COVID1,COVID2,COVID3,INT1,INT2,INT3,BE1,BE2,BE3,BE4,PU1,PU2,PU3,PEU1,PEU2,PO1,PO2,PRI1,PRI2,PRI3,gender,age,Education,Occupation,income
4,4,4,4,3,5,4,4,4,5,4,4,3,3,4,4,4,2,2,3,4,4,5,4,5,4,3,3,3,1,21,3,1,4
3,3,3,3,3,3,4,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,22,3,1,4
4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,1,22,3,1,3
3,4,5,5,4,5,5,4,3,5,5,5,3,2,4,5,4,1,3,5,5,4,2,2,3,3,3,3,4,0,21,3,1,3
2,3,4,4,4,4,4,4,4,4,3,5,4,3,3,4,4,5,3,3,4,4,4,4,4,4,4,4,4,0,19,3,1,4
3,4,3,4,4,4,5,4,4,5,4,5,4,4,4,4,3,3,4,4,4,4,5,5,4,4,4,4,4,0,19,3,1,4
3,3,4,4,4,5,5,3,3,4,3,3,4,4,4,5,4,2,5,4,4,5,3,3,5,5,4,4,5,1,19,3,1,3
2,2,4,4,5,5,5,3,3,4,4,4,5,4,5,5,4,4,4,5,4,4,4,4,3,3,4,5,5,1,19,3,1,2
2,2,3,4,5,5,4,3,3,4,4,4,4,3,3,5,4,4,4,3,3,3,3,3,3,3,4,4,4,0,21,3,1,3
3,3,3,4,4,4,5,3,3,3,3,4,4,4,4,5,4,4,5,4,4,5,4,3,5,5,4,5,5,0,25,4,5,4
3,3,3,4,3,4,3,2,3,3,4,3,3,4,3,2,3,2,3,3,4,3,3,3,2,2,3,3,3,0,23,4,5,4
3,3,3,4,3,4,5,4,4,3,4,3,4,3,4,3,4,5,3,3,4,4,5,5,5,5,4,4,3,1,19,3,1,3
3,4,3,4,3,4,4,3,3,2,4,4,2,4,2,4,4,5,3,4,3,4,2,4,4,3,4,4,4,1,19,3,1,3
4,4,4,3,4,3,4,5,3,3,3,3,3,4,2,4,5,5,3,5,2,3,3,4,3,3,4,4,4,1,19,3,1,2
3,3,4,5,4,4,4,3,3,5,3,5,3,3,3,4,3,4,5,5,5,5,3,4,4,3,3,4,4,0,21,3,1,4
4,3,4,4,4,3,4,5,5,5,4,4,4,4,4,3,4,4,4,5,5,5,4,4,4,3,4,4,4,1,30,3,1,3
4,3,3,4,4,4,4,3,4,3,3,4,4,5,5,4,4,4,4,4,5,5,5,5,3,3,5,4,4,0,19,3,1,3
5,4,4,3,5,4,4,3,2,5,4,3,3,4,4,5,5,4,4,3,4,3,4,5,4,5,4,4,4,0,19,3,1,3
3,4,4,4,5,4,3,4,4,3,3,5,3,4,5,5,5,4,3,5,3,5,5,3,5,5,5,4,5,1,20,3,1,3
5,5,4,3,3,3,2,5,5,4,3,5,4,3,4,3,5,5,4,3,3,4,5,3,5,4,4,4,4,1,19,3,1,4
5,5,4,3,3,3,4,3,2,2,5,5,4,5,5,5,4,4,3,5,4,5,4,4,5,5,5,4,4,1,19,3,1,3
5,4,4,5,3,3,5,5,4,3,3,4,5,5,4,4,5,3,3,4,5,5,4,3,5,4,4,4,4,1,19,3,1,4
5,4,3,3,3,3,5,3,3,4,2,4,4,5,5,4,3,3,3,3,4,3,5,5,2,4,4,4,3,0,19,3,1,3
4,3,4,5,4,4,4,5,5,3,4,4,4,4,5,4,5,5,5,4,5,4,5,4,4,4,5,5,5,0,20,3,1,4
2,3,4,4,5,3,4,3,3,4,4,5,4,3,4,4,3,4,3,4,4,5,4,3,4,5,4,4,4,0,22,3,1,2
4,4,3,5,3,4,4,4,4,4,4,5,5,4,4,5,4,4,5,4,4,5,4,5,5,4,4,5,5,1,19,3,1,3
1,1,2,3,2,2,2,2,3,3,4,3,1,3,2,2,3,2,2,3,4,3,2,1,2,1,3,2,3,1,21,3,1,3
4,4,3,5,5,4,4,5,5,4,3,5,5,4,5,4,5,4,4,4,5,4,4,4,5,5,5,4,4,0,19,3,1,3
4,4,4,4,4,4,5,4,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,3,3,5,5,5,1,22,3,1,3
3,4,3,4,3,5,4,5,4,5,4,4,3,4,4,4,3,3,4,5,5,4,3,4,3,4,4,4,4,0,21,3,1,3
4,4,3,5,4,5,5,5,4,4,4,3,5,4,5,4,5,4,5,4,3,4,3,4,5,5,5,5,5,0,20,3,1,4
3,4,4,3,2,4,2,2,3,3,2,4,4,5,4,3,3,4,3,4,2,4,2,5,3,4,4,4,3,1,23,3,1,4
3,4,3,4,3,5,3,4,3,3,4,5,4,5,3,4,3,4,3,4,3,4,3,4,2,3,4,4,4,0,21,1,1,3
3,4,4,3,5,3,3,3,4,5,3,4,3,4,5,5,4,3,4,3,3,4,4,3,4,3,4,4,4,0,22,1,5,3
2,3,2,4,3,4,2,3,4,2,3,4,3,1,2,3,3,2,2,3,2,4,3,2,3,2,2,2,3,0,20,3,1,4
1,3,4,2,3,5,2,2,1,4,2,4,3,1,4,1,2,3,4,2,3,4,2,2,2,2,3,3,2,1,19,3,1,3
3,3,3,4,4,4,5,5,4,4,4,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,71,1,7,3
4,5,5,4,4,4,4,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,1,21,3,1,3
3,3,3,4,4,4,5,5,5,3,3,4,4,4,4,5,5,5,5,4,4,4,4,4,5,4,5,5,5,0,23,4,5,3
3,4,5,5,4,2,4,4,4,5,4,4,4,4,5,5,4,3,5,5,4,4,5,5,4,4,4,5,5,1,30,3,4,2
